"","company","rating","salary","city","state","companysize","industy","statistics","r","python","machine learning","engineering","computer science","economics","clustering","data mining","hadoop","java","math","matlab","physics","sas","hive","operations research","sql","classification","applied mathematics","marketing","spark"
"98","Opendoor",4.7,"$138k-$193k","San Francisco","CA","201-500","Real Estate",0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"99","Coach",3.6,"$111k-$170k","New York","NY","10000--1","Other Retail Stores",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"100","Crescent Solutions",4.1,NA,"Las Vegas","NV","201-500","Staffing & Outsourcing",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Walmart eCommerce",3.2,"$108k-$149k","Sunnyvale","CA","1001-5000","Internet",1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
"102",NA,5,"$69k-$111k",NA,NA,"1-50","Publishing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","UPMC",3.3,"$53k-$83k","Pittsburgh","PA","10000--1","Health Care Services & Hospitals",1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0
"104","Backcountry",3.2,"$67k-$97k","Park City","UT","501-1000","Department, Clothing, & Shoe Stores",1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"105","Toptal",4.5,"$66k-$98k",NA,NA,"501-1000","Consulting",1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"106","Vertical Knowledge",4,"$86k-$123k","Cleveland","OH","51-200","IT Services",0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"107","PETCO",2.8,"$91k-$138k","San Diego","CA","10000--1","Pet & Pet Supplies Stores",1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0
"108","Kforce",3.2,NA,"Framingham","MA","10000--1","Staffing & Outsourcing",1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1
"109","Kforce",3.2,NA,"Atlanta","GA","10000--1","Staffing & Outsourcing",0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"110","Thumbtack",4.5,"$105k-$147k","San Francisco","CA","201-500","Internet",1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
"111","Pure Storage",3.8,"$158k-$222k","Mountain View","CA","1001-5000","Computer Hardware & Software",1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
"112","Remind",4.7,"$100k-$142k","San Francisco","CA","51-200","Computer Hardware & Software",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"113","Novetta",3.6,"$109k-$161k","Herndon","VA","501-1000","Enterprise Software & Network Solutions",0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"114","IntraEdge",3.9,"$77k-$118k","Phoenix","AZ","501-1000","IT Services",1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
"115","Axelon, Inc.",4,"$78k-$117k","Plano","TX","501-1000","Staffing & Outsourcing",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"116","Grammarly",4.3,"$94k-$136k","San Francisco","CA","51-200","Consumer Product Rental",1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"117","Walmart eCommerce",3.2,"$112k-$154k","San Bruno","CA","1001-5000","Internet",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"118","Arbor",3.3,"$139k-$193k","Baltimore","MD","201-500","Enterprise Software & Network Solutions",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","PTP",4,"$75k-$108k","Gold River","CA","51-200","IT Services",0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"120","Convoy",5,"$85k-$125k","Seattle","WA","51-200","Trucking",1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1
"121","Stripe",4.1,"$141k-$196k","San Francisco","CA","501-1000","Internet",1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"122","Chubb Corp",3.2,"$113k-$171k","Whitehouse Station","NJ","10000--1","Insurance Carriers",1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1
"123",NA,4.1,NA,"ver","CO","201-500","IT Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Global Executive Solutions Group",3.7,NA,"Fayetteville","AR","1-50","Staffing & Outsourcing",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"125","Principal Financial Group",3.5,"$39k-$50k","Des Moines","IA","10000--1","Investment Banking & Asset Management",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"126","Quantlab",3.9,"$136k-$203k","Houston","TX","51-200","Investment Banking & Asset Management",0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"127","Fabergent USA",4.8,"$60k-$98k","Harrisburg","PA","51-200","IT Services",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","Apex Systems",3.4,NA,"Carlsbad","CA","1001-5000","Staffing & Outsourcing",1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
"129","Monsanto Company",3.9,"$90k-$134k","Saint Louis","MO","10000--1","Food Production",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","Franklin Templeton Investments",3.6,"$68k-$107k",NA,NA,"5001-10000","Investment Banking & Asset Management",1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"131","Jane Street",4.3,"$131k-$195k","New York","NY","501-1000","Investment Banking & Asset Management",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"132","IBM",3.5,"$65k-$96k",NA,NA,"10000--1",NA,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"133","Domo",4.3,"$74k-$109k","Salt Lake City","UT","501-1000","Computer Hardware & Software",1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1
"134","Twitter",3.9,"$134k-$184k","San Francisco","CA","1001-5000","Internet",1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
