"","company","rating","salary","city","state","companysize","industy","statistics","machine learning","r","python","computer science","mathematics","engineering","data mining","economics","java","sas","physics","operations research","spark","clustering","hadoop","matlab","hive","expression","sql","algorithms","finance","scala","applied mathematics","time series","development","math","econometrics","c++","data science","regression","bayesian methods"
"43","PROS",3.8,"$76k-$108k","Houston","TX","1001-5000","Computer Hardware & Software",1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0
"44","IBM",3.5,"$67k-$99k","Phoenix","AZ","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"45","Cratejoy",4.9,"$89k-$133k","Austin","TX","1-50","Internet",1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0
"46","Lyft",3.8,"$129k-$179k","San Francisco","CA","1001-5000","Transportation Management",1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"47","Wheelhouse (California)",5,"$128k-$205k","San Francisco","CA","1-50","Hotels, Motels, & Resorts",1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
"48","Health Catalyst",4.7,"$128k-$179k","Salt Lake City","UT","501-1000","Enterprise Software & Network Solutions",1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"49","Fooda",4.2,"$69k-$106k","Chicago","IL","1-50","IT Services",1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
"50","Two Sigma",4.4,"$157k-$229k","New York","NY","1001-5000","Investment Banking & Asset Management",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"51","MultiCare Health System",3.5,"$64k-$100k","Mount Vernon","IA","10000+","Health Care Services & Hospitals",1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
"52","A Place for Mom",4.1,"$90k-$132k","Seattle","WA","201-500","Health Care Services & Hospitals",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0
"53","IBM",3.5,"$66k-$97k","Charlotte","NC","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"54","23andMe, Inc.",4.7,"$94k-$143k","Mountain View","CA","201-500","Biotech & Pharmaceuticals",1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
