"","company","rating","salary","city","state","companysize","industy","statistics","machine learning","r","python","computer science","mathematics","engineering","data mining","economics","java","sas","physics","operations research","spark","clustering","hadoop","matlab","hive","expression","sql","algorithms","finance","scala","applied mathematics","time series","development","math","econometrics","c++","data science","regression","bayesian methods"
"124","Point72",4.2,"$105k-$160k","Stamford","CT","1001-5000","Investment Banking & Asset Management",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"125","Fabergent USA",4.8,"$60k-$98k","Harrisburg","PA","51-200","IT Services",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"126","Sitecore",3.1,"$127k-$176k","Sausalito","CA","501-1000","Computer Hardware & Software",1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"127","Franklin Templeton Investments",3.6,"$68k-$107k",NA,NA,"5001-10000","Investment Banking & Asset Management",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
"128","Swib",4.7,"$54k-$94k","Madison","WI","51-200","Investment Banking & Asset Management",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"129","Walmart",3.2,"$77k-$120k","Plano","TX","10000+",NA,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0
"130","City and County of San Francisco",3.5,"$89k-$129k","San Francisco","CA","5001-10000","Federal Agencies",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"131","ExxonMobil",3.8,"$95k-$143k","Houston","TX","10000+","Oil & Gas Exploration & Production",1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
"132","Novartis",3.6,"$79k-$119k","Cambridge","MA","10000+","Biotech & Pharmaceuticals",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"133","IBM",3.5,"$73k-$107k","Austin","TX","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"134","NTT DATA",3.2,"$72k-$121k","Plano","TX","10000+","IT Services",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"135","The Washington Post",4.1,"$94k-$140k","Washington","DC","1001-5000","Publishing",1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
"136","Login Consulting Services Inc.",3.7,NA,"Plano","TX","51-200","Consulting",0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
"137","BioFire Diagnostics, LLC.",4.3,NA,"Salt Lake City","UT","1001-5000","Biotech & Pharmaceuticals",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"138","BCForward",3.5,NA,"Indianapolis","IN","1001-5000","IT Services",1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"139","Altamira Technologies",4.1,"$99k-$147k","Alexandria","VA","201-500","IT Services",1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
"140","Uber",4.2,"$105k-$148k","San Francisco","CA","10000+","Computer Hardware & Software",0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"141","Invesco",3.6,"$74k-$115k","Downers Grove","IL","5001-10000","Investment Banking & Asset Management",1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
"142","Univera Healthcare",3.7,"$78k-$115k","Rochester","NY","1001-5000","Insurance Carriers",1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"143","Monsanto Company",3.9,"$90k-$134k","Saint Louis","MO","10000+","Food Production",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"144","Lubrizol",3.7,"$72k-$110k","Hazelwood","MO","10000+","Chemical Manufacturing",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"145","TrueMotion",4.9,"$98k-$141k","Boston","MA","1-50","Computer Hardware & Software",1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
"146","IBM",3.5,"$77k-$113k","Boston","MA","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"147","Epiworks",4.7,"$66k-$101k","Champaign","IL","51-200","Electrical & Electronic Manufacturing",1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0
"148","CitiGroup",3.6,"$136k-$196k","Houston","TX","10000+","Investment Banking & Asset Management",0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
"149","NBCNEWS.com",3.2,"$137k-$207k","New York","NY","201-500","Motion Picture Production & Distribution",1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0
"150","IntraEdge",3.9,"$77k-$118k","Phoenix","AZ","501-1000","IT Services",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"151","IBM",3.5,"$73k-$107k","Austin","TX","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"152",NA,4.1,NA,"Denver","CO","201-500","IT Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","PTP",4,"$75k-$108k","Gold River","CA","51-200","IT Services",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0
"154","Freddie Mac",3.4,"$114k-$164k","McLean","VA","5001-10000","Investment Banking & Asset Management",1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
"155","Workday",3.8,"$130k-$181k","Pleasanton","CA","5001-10000","Computer Hardware & Software",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0
"156","Smith Hanley Associates",4.2,NA,"New York","NY","1-50","Staffing & Outsourcing",0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
"157","ACI Worldwide",3.2,"$103k-$143k","Providence","RI","1001-5000","Computer Hardware & Software",0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
"158","Square",4.4,"$124k-$172k","San Francisco","CA","1001-5000","Computer Hardware & Software",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0
"159","Deloitte",3.8,"$118k-$175k","Chicago","IL","10000+",NA,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
"160",NA,4.2,"$56k-$84k","Denver","CO","51-200","Travel Agencies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Amazon Web Services, Inc.",3.6,"$104k-$150k","Dallas","TX","10000+",NA,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"162","Deloitte",3.8,"$103k-$155k","Dayton","OH","10000+",NA,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"163","IBM",3.5,"$81k-$117k","Los Angeles","CA","10000+",NA,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"164","IBM",3.5,"$101k-$146k","Denver","CO","10000+",NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
"165","IntraEdge",3.9,"$77k-$118k","Phoenix","AZ","501-1000","IT Services",1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"166","Intel",3.7,"$70k-$104k","Hillsboro","OR","10000+","Computer Hardware & Software",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0
"167","Chubb Corp",3.2,"$113k-$171k","Whitehouse Station","NJ","10000+","Insurance Carriers",1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"168","Quora, Inc.",4.4,"$119k-$175k","Mountain View","CA","51-200","Internet",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"169","Walmart eCommerce",3.2,"$112k-$154k","San Bruno","CA","1001-5000","Internet",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"170","Zillow Group",4.3,"$121k-$169k","San Francisco","CA","1001-5000","Real Estate",0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
"171","Pure Storage",3.8,"$158k-$222k","Mountain View","CA","1001-5000","Computer Hardware & Software",1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
"172","JetSmarter",3.6,"$67k-$103k","Fort Lauderdale","FL","201-500","Airlines",0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"173","Sartorius",3.2,"$77k-$117k",NA,NA,"5001-10000","Biotech & Pharmaceuticals",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"174","Software Engineering Institute",3.6,"$59k-$98k","Pittsburgh","PA","501-1000","Colleges & Universities",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"175","3M",3.8,"$105k-$157k","Woodbury","MN","10000+","Chemical Manufacturing",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0
"176","ZeniMax Media",3.5,"$81k-$119k","Rockville","MD","51-200","Video Games",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"177","Sony PlayStation",3.4,"$86k-$126k","Aliso Viejo","CA","5001-10000","Video Games",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0
"178","Yieldbot",3.6,"$81k-$129k","Portland","OR","51-200","Internet",0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"179","View, Inc.",3.4,"$134k-$191k","Milpitas","CA","51-200","Consumer Products Manufacturing",1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
"180","Uber",4.2,"$113k-$158k","San Francisco","CA","10000+","Computer Hardware & Software",1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"181","Bank of America",3.5,"$96k-$151k","Charlotte","NC","10000+","Banks & Credit Unions",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
"182","Eaze",4.7,"$98k-$139k","San Francisco","CA","51-200","Internet",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"183","Silo",4.1,"$69k-$111k",NA,NA,"1-50",NA,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"184","Walmart",3.2,"$77k-$120k","Plano","TX","10000+",NA,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0
"185","Grammarly",4.3,"$94k-$136k","San Francisco","CA","51-200","Consumer Product Rental",1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0
"186","Uptake",4,"$102k-$144k","Chicago","IL","501-1000","Computer Hardware & Software",1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
"187","Franklin Templeton Investments",3.6,"$68k-$107k",NA,NA,"5001-10000","Investment Banking & Asset Management",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
"188","Puget Sound Energy",3.4,"$106k-$150k","Bellevue","WA","1001-5000","Utilities",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"189","Coach",3.6,"$111k-$170k","New York","NY","10000+","Other Retail Stores",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"190","HP Inc.",3.7,"$103k-$147k","Houston","TX","10000+","Computer Hardware & Software",0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
"191","SeatGeek",4.8,"$99k-$150k","New York","NY","51-200","Internet",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
"192",NA,4.4,"$35k-$53k","Blacksburg","VA","51-200","Staffing & Outsourcing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Brunel",3.6,NA,"Netherlands","MO","10000+","Utilities",0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
"194","Eero",4.5,"$123k-$173k","San Francisco","CA","51-200","Computer Hardware & Software",1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0
"195","Kayak",4.2,"$101k-$145k","Cambridge","MA","501-1000","Travel Agencies",1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"196","Microsoft",4,"$116k-$158k","Redmond","WA","10000+","Computer Hardware & Software",1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
"197","TrueAccord",4.6,"$98k-$139k","San Francisco","CA","51-200","Enterprise Software & Network Solutions",1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
"198","KAYAK",4.2,"$101k-$145k","Cambridge","MA","501-1000","Travel Agencies",1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"199","Kaiser Permanente",3.9,"$76k-$115k","Pasadena","CA","10000+","Health Care Services & Hospitals",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"200","Hollister Staffing",4,"$74k-$107k","Boston","MA","51-200","Staffing & Outsourcing",1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"201","Accenture",3.8,"$88k-$132k","Austin","TX","10000+",NA,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
"202","Vertical Knowledge",4,"$86k-$123k","Cleveland","OH","51-200","IT Services",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"203","MINDBODY, Inc",3.8,"$74k-$105k","San Luis Obispo","CA","1001-5000","Computer Hardware & Software",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"204","Lorven Technologies",4,"$67k-$103k","Philadelphia","PA","1-50","Accounting",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"205","Lyft",3.8,"$115k-$162k","Seattle","WA","1001-5000","Transportation Management",1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"206","DuPont",3.4,"$100k-$151k","Johnston","IA","10000+","Chemical Manufacturing",1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"207","Babylist",4.2,"$61k-$80k","Oakland","CA","1-50","Other Retail Stores",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"208","MITRE",3.7,"$103k-$153k","Tampa","FL","5001-10000","Research & Development",0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"209","Etsy",3.4,"$130k-$181k","San Francisco","CA","1001-5000","Other Retail Stores",0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"210",NA,3.6,"$85k-$129k","Cambridge","MA","51-200","Enterprise Software & Network Solutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Bank of America",3.5,"$111k-$170k","Charlotte","NC","10000+","Banks & Credit Unions",1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"212","Intermountain Healthcare",3.8,"$89k-$112k","Salt Lake City","UT","10000+","Health Care Services & Hospitals",1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
"213","First Orion",5,"$67k-$105k","Little Rock","AR","51-200","Telecommunications Services",1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
"214","IT Concepts",5,"$55k-$86k","Washington","DC","1-50","IT Services",1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"215","Kforce",3.2,NA,"Miami","FL","10000+","Staffing & Outsourcing",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0
"216","Walmart",3.2,"$77k-$121k","Austin","TX","10000+",NA,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
"217","Black Knight Financial Services",2.9,"$63k-$81k","Glendale","CA","5001-10000","IT Services",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"218","IntraEdge",3.9,"$90k-$140k","New York","NY","501-1000","IT Services",1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"219","SunAmerica Affordable Housing Partners",3,"$93k-$143k","New York","NY","10000+","Lending",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"220",NA,3.4,"$98k-$139k","Emeryville","CA","501-1000","Home Furniture & Housewares Stores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,"$89k-$129k","San Francisco","CA","51-200","Lending",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"222","Uber",4.2,"$90k-$135k","New York","NY","10000+","Computer Hardware & Software",1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0
"223","StubHub",3.4,"$126k-$174k","San Francisco","CA","1001-5000","Ticket Sales",0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"224","Avant",3.1,"$73k-$107k","Chicago","IL","501-1000","Lending",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
"225","First Republic Bank",3.7,"$80k-$134k","San Francisco","CA","1001-5000","Banks & Credit Unions",1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
"226","Amazon Web Services, Inc.",3.6,"$104k-$150k","Dallas","TX","10000+",NA,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"227","OkCupid",3,"$115k-$166k","New York","NY","1-50","Internet",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
"228","Quantlab",3.9,"$136k-$203k","Houston","TX","51-200","Investment Banking & Asset Management",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"229","Uber",4.2,"$113k-$158k","San Francisco","CA","10000+","Computer Hardware & Software",1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"230","Zimmerman Advertising",3.6,"$64k-$99k","Dallas","TX","501-1000","Advertising & Marketing",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
"231","The Washington Post",4.1,"$94k-$140k","Washington","DC","1001-5000","Publishing",1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
"232","College Track",3.6,"$65k-$85k","Oakland","CA","51-200","Colleges & Universities",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"233","Quora, Inc.",4.4,"$119k-$175k","Mountain View","CA","51-200","Internet",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"234",NA,4.8,"$76k-$111k","Silver Spring","MD","1-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Coca-Cola Company",3.5,"$74k-$112k","Atlanta","GA","10000+","Food & Beverage Manufacturing",1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0
"236","Proofpoint",3.3,"$87k-$124k","Draper","UT","1001-5000","Enterprise Software & Network Solutions",1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"237","Limeade",3.5,"$80k-$115k","Bellevue","WA","51-200","Enterprise Software & Network Solutions",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0
"238","Macy's",3.2,"$96k-$148k","New York","NY","10000+","Department, Clothing, & Shoe Stores",0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"239","Topcon",3.3,"$73k-$104k","Oakland","NJ","1001-5000","Electrical & Electronic Manufacturing",1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"240","Esri",3.7,"$111k-$155k","Redlands","CA","1001-5000","Computer Hardware & Software",1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0
"241","Ford Motor Company",3.8,"$84k-$123k","Dearborn","MI","10000+","Transportation Equipment Manufacturing",0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"242","Booz Allen Hamilton Inc.",3.7,"$74k-$114k","Saint Louis","MO","10000+","Consulting",1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0
"243","Microsoft",4,"$116k-$158k","Redmond","WA","10000+","Computer Hardware & Software",1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
"244","Citibank",3.4,"$72k-$111k","Jacksonville","FL","5001-10000","Investment Banking & Asset Management",1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1
"245","Yieldbot",3.6,"$81k-$129k","Portland","OR","51-200","Internet",0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"246",NA,NA,"$83k-$133k","New York","NY","1-50",NA,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"247","Remitly",4.5,"$82k-$121k","Seattle","WA","201-500","Banks & Credit Unions",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"248","IBG LLC",2.3,"$88k-$134k","Greenwich","CT","201-500","Brokerage Services",1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"249","xAd",3.1,"$112k-$159k","Mountain View","CA","201-500","Advertising & Marketing",1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
